expanded_feature,variable_original,tipo_expansion,f_score,p_value,significativa_5pct
material_techo__caña o estera con torta de barro o cemento,material_techo,dummy_desde_string,0.01477221354122271,0.9032786639396133,False
material_techo__concreto armado,material_techo,dummy_desde_string,97.44406617958519,2.5681765308571903e-22,True
material_techo__madera,material_techo,dummy_desde_string,2.958844546826559,0.08561316973287374,False
material_techo__otro material,material_techo,dummy_desde_string,0.3160964723954208,0.5740461922733046,False
"material_techo__paja, hojas de palmera",material_techo,dummy_desde_string,7.196088144314891,0.0073857099413668185,True
"material_techo__planchas de calamina, fibra de cemento o similares",material_techo,dummy_desde_string,94.72753278478793,9.332189692091509e-22,True
material_techo__tejas,material_techo,dummy_desde_string,0.1717087760160991,0.6786562700407827,False
material_techo__triplay/estera/carrizo,material_techo,dummy_desde_string,0.008941778935156651,0.9246760489068954,False
num_habitaciones,num_habitaciones,directa_numerica,56.070692428369696,1.1810814254482456e-13,True
tenencia_vivienda__alquilada,tenencia_vivienda,dummy_desde_string,0.9480464608568863,0.33037248666246494,False
tenencia_vivienda__cedida por el centro de trabajo,tenencia_vivienda,dummy_desde_string,0.7258346599652287,0.39437132913654116,False
tenencia_vivienda__cedida por otro hogar o institucion,tenencia_vivienda,dummy_desde_string,4.171647296656638,0.041278619791130164,True
tenencia_vivienda__otra forma,tenencia_vivienda,dummy_desde_string,0.474507481897334,0.4910262656653181,False
"tenencia_vivienda__propia, comprandola a plazos",tenencia_vivienda,dummy_desde_string,0.3939389382280392,0.5303307486165264,False
"tenencia_vivienda__propia, por invasion",tenencia_vivienda,dummy_desde_string,1.0685961535514108,0.30142773789974525,False
"tenencia_vivienda__propia, totalmente pagada",tenencia_vivienda,dummy_desde_string,1.9735837239810343,0.16027298062545653,False
piso_precario,piso_precario,directa_numerica,62.05179959436011,6.334829369045543e-15,True
ingreso_neto_total_hogar,ingreso_neto_total_hogar,directa_numerica,61.639713509754046,7.745606314243195e-15,True
monto_bono_alimentario,monto_bono_alimentario,directa_numerica,3.9321229366669277,0.047552445852871786,True
monto_apoyo_ollas_comunes,monto_apoyo_ollas_comunes,directa_numerica,1.5577322734481784,0.2121904249469882,False
monto_ingresos_gastos_ollas_comunes,monto_ingresos_gastos_ollas_comunes,directa_numerica,0.3039210448531237,0.5815159495005311,False
monto_juntos,monto_juntos,directa_numerica,27.27933158347391,2.0055711285892754e-07,True
monto_otras_transferencias_publicas,monto_otras_transferencias_publicas,directa_numerica,12.704367545558927,0.00037612374766949274,True
monto_pension_65,monto_pension_65,directa_numerica,23.541372003306932,1.3485805446498706e-06,True
monto_beca_18,monto_beca_18,directa_numerica,0.6428560092834894,0.4228042218506069,False
monto_bono_gas,monto_bono_gas,directa_numerica,25.187110082846367,5.817498090569167e-07,True
monto_bono_electricidad,monto_bono_electricidad,directa_numerica,9.415212921461798,0.0021900903094562362,True
monto_bono_onp_jubilados,monto_bono_onp_jubilados,directa_numerica,0.5614938792107047,0.45377529260088967,False
monto_programa_contigo,monto_programa_contigo,directa_numerica,14.506929530322024,0.00014522305093967258,True
monto_bono_yanapay,monto_bono_yanapay,directa_numerica,0.4744166838984194,0.49106773565479345,False
