feature_set,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
top30_full,LightGBM,smote,0.2,0.6470383275261324,0.4100508113223572,0.5015134458586179,0.8535463822468105,0.4860614692124522
top30_full,LightGBM,smote,0.25,0.5989547038327526,0.4398233003893381,0.5067554317193267,0.8535463822468105,0.4860614692124522
top30_full,LightGBM,smote,0.3,0.5653890824622533,0.4729698928787075,0.5138920863913988,0.8535463822468105,0.4860614692124522
top30_full,LightGBM,smote,0.35,0.5267131242740999,0.482507027855865,0.502554910233372,0.8535463822468105,0.4860614692124522
top30_full,LightGBM,smote,0.4,0.47351916376306613,0.48899609162767066,0.480570517363572,0.8535463822468105,0.4860614692124522
top30_full,LightGBM,smote,0.45,0.43484320557491285,0.4950530738611233,0.46242039271130986,0.8535463822468105,0.4860614692124522
top30_full,LightGBM,smote,0.5,0.3911730545876887,0.5203249766097374,0.44505356479269526,0.8535463822468105,0.4860614692124522
top30_full,LightGBM,weighted,0.2,0.7386759581881532,0.3472718665875804,0.4716530487302987,0.8516144905178604,0.4826710530035804
top30_full,LightGBM,weighted,0.25,0.7049941927990708,0.36472812475757205,0.47986561875859196,0.8516144905178604,0.4826710530035804
top30_full,LightGBM,weighted,0.3,0.6905923344947735,0.389079021025997,0.4968970555330694,0.8516144905178604,0.4826710530035804
top30_full,LightGBM,weighted,0.35,0.6571428571428571,0.4158712038608501,0.5079261040778358,0.8516144905178604,0.4826710530035804
top30_full,LightGBM,weighted,0.4,0.6185830429732869,0.4269632890413989,0.5035640743263692,0.8516144905178604,0.4826710530035804
top30_full,LightGBM,weighted,0.45,0.5844367015098723,0.44787202020261735,0.5053918711104421,0.8516144905178604,0.4826710530035804
top30_full,LightGBM,weighted,0.5,0.570034843205575,0.4644212455643079,0.5105948143982886,0.8516144905178604,0.4826710530035804
top30_full,Logistic,smote,0.2,0.9127758420441348,0.2701024356674676,0.416570790030166,0.8623418535166814,0.546921558155333
