codrev4,rnombre
0111,"Cultivo de cereales (excepto arroz), legumbres y semillas  oleaginosas"
0112,Cultivo de arroz
0113,"Cultivo de vegetales y melones, raíces y tubérculos"
0114,Cultivo de  caña de  azúcar
0115,Cultivo de tabaco
