grangrup,grupo,subgrupo,variedad,codocupa,desocupa
0,0,0,0,0,FUERZAS ARMADAS Y POLICIALES
0,1,0,0,10,FUERZA ARMADAS
0,1,1,0,11,OFICIALES
0,1,1,1,11,"MARINA, OFICIALES"
0,1,1,2,11,"EJERCITO, OFICIALES"
