aÑo,mes,conglome,vivienda,hogar,ubigeo,dominio,estrato,mieperho,totmieho,percepho,ia01hd,ia02hd,ig03hd1,ig03hd2,ig03hd3,ig03hd4,sg23,sig24,sg25,sig26,sg27,sig28,ga03hd,ga04hd,sg42,sg421,sg422,sg42d,sg42d1,sg42d2,ingbruhd,ingnethd,pagesphd,ingindhd,ingauthd,insedthd,insedlhd,paesechd,ingseihd,isecauhd,ingexthd,ingtrahd,ingtexhd,ingrenhd,ingoexhd,g05hd,ig06hd,g05hd1,ig06hd1,g05hd2,ig06hd2,g05hd3,ig06hd3,g05hd4,ig06hd4,g05hd5,ig06hd5,g05hd6,ig06hd6,g07hd1,g07hd2,ig08hd1,ig08hd2,ingtprhd,ingtpuhd,ingtpu01,ingtpu02,ingtpu03,ingtpu04,ingtpu05,ingtpu10,ingtpu11,ingtpu12,ingtpu13,ingtpu14,ingtpu15,ingtpu16,gru11hd,gru12hd,gru13hd,gru14hd,gru15hd,gru16hd,gru10hd,gru111hd,gru112hd,gru113hd,gru114hd,gru115hd,gru116hd,gru110hd,gru111hd2,gru112hd2,gru113hd2,gru114hd2,gru115hd2,gru116hd2,gru110hd2,gru21hd,gru22hd,gru23hd,gru24hd,gru25hd,gru26hd,gru21hd1,gru22hd1,gru25hd1,gru26hd1,gru27hd1,gru20hd,gru31hd,gru32hd,gru33hd,gru34hd,gru35hd,gru36hd,gru37hd,gru41hd,gru42hd,gru43hd,gru44hd,gru45hd,gru46hd,gru47hd,gru41hd1,gru45hd1,gru46hd1,gru47hd1,gru51hd,gru52hd,gru53hd,gru54hd,gru55hd,gru56hd,gru57hd,gru51hd1,gru52hd1,gru53hd1,gru54hd1,gru55hd1,gru56hd1,gru57hd1,gru61hd,gru62hd,gru64hd,gru65hd,gru66hd,gru67hd,gru60hd,gru71hd,gru72hd,gru73hd,gru74hd,gru75hd,gru76hd,gru77hd,gru71hd1,gru72hd1,gru73hd1,gru74hd1,gru75hd1,gru76hd1,gru71hd2,gru72hd2,gru75hd2,gru76hd2,gru77hd2,gru81hd,gru82hd,gru83hd,gru84hd,gru85hd,gru86hd,gru87hd,gru91hd,gru92hd,gru93hd,gru94hd,gru95hd,gru96hd,gru97hd,gru91hd1,gru92hd1,gru93hd1,gru94hd1,gru96hd1,gru95hd1,gru97hd1,gru91hd3,gru92hd3,gru93hd3,gru94hd3,gru95hd3,gru96hd3,gru90hd,gru101hd,gru102hd,gru103hd,gru104hd,gru105hd,gru106hd,gru111hd1,gru112hd1,gru115hd1,gru116hd1,gru117hd1,gru121hd,gru122hd,gru123hd,gru124hd,gru125hd,gru126hd,gru127hd,gru121hd3,gru122hd3,gru123hd3,gru124hd3,gru125hd3,gru126hd3,gru121hd2,gru121hd4,gru122hd4,gru125hd4,gru126hd4,gru127hd4,gashog2d,gashog1d,ingmo1hd,ingmo2hd,inghog1d,inghog2d,estrsocial,ld,linpe,linea,pobreza,lineav,pobrezav,factor07,nconglome,sub_conglome
2023,01,005030,002,11,010201,selva, de 20 000 a 49 999 habitantes,4,4,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7088.0,0.0,1.9399827,188.08017,0.0,0.0,7.2223864,0.0,22277.0,18750.0,966,28577.0,6436,0.0,0.0,0,0.0,0,0,3342,0,0,0,2827.4194,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,155.47514,0.0,0.0,0.0,3342,0,0,0,0,0,0,0,0,0,0,0,0,0,9269.673,2704.423,0.0,0.0,249.09442,0.0,0.0,1413.7096,0.0,0.0,0.0,0.0,0.0,0.0,761.2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4261.0303,0.0,0.0,0.0,0.0,0.0,0.0,9344.2705,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.334053,528.98364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0,2727.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,1535.8678,0.0,0.0,0.0,0.0,0.0,0.0,1243.26,0.0,0.0,54.0,22.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,344.06912,505.61066,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0,0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38801.69140625,31995.357421875,54196.0,50669.0,64665.31640625,61138.31640625,d,0.80923676,244.48923,401.32013,no pobre,680.96783,no vulnerable,118.37454,06618,00
2023,01,005030,011,11,010201,selva, de 20 000 a 49 999 habitantes,3,3,3,4607.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4607.0,159.52206,38.32943,0.0,0.0,0.0,0.0,0.0,0.0,0,60433.0,5359,0.0,0.0,0,0.0,0,0,0,0,1063,0,4105.1953,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13846.628,4032.8223,0.0,0.0,0.0,196.1044,0.0,108.746895,0.0,0.0,0.0,0.0,0.0,0.0,271.86725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1611.6951,0.0,0.0,0.0,0.0,0.0,0.0,2127.0,0.0,0,0.0,0.0,0.0,157.5,0.0,0.0,0.0,0.0,824.3456,0.0,0.0,0.0,10.26681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3259.0,0,3463.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,81.72627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,235.57285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,837.0916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41036.4140625,28569.720703125,61496.0,61496.0,75288.875,75288.875,d,0.80923676,244.48923,401.32013,no pobre,702.5996,no vulnerable,118.37454,06618,00
2023,01,005030,037,11,010201,selva, de 20 000 a 49 999 habitantes,4,4,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2953.0,0.0,5.6760373,14.188903,0.0,0.0,10.83358,0.0,23515.0,22030.0,0,0.0,0,0.0,0.0,0,0.0,0,3997,0,0,0,0,2433.212,63.078987,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10804.33,0.0,0.0,0.0,1048.6626,0.0,0.0,770.72363,0.0,0.0,0.0,1.5796134,0.0,0.0,565.08203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2115.5837,0.0,0.0,0.0,66.91595,0.0,0.0,4406.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.58777,0.0,0.0,0.0,10.26681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0,0.0,0.0,0.0,0.0,0,6141.6406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,346.18423,0.0,0.0,160.0,1044.1793,0.0,0.0,0.0,0.0,0,0,0,0.0,0,145.07951,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,579.3737,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31943.1796875,29537.662109375,27512.0,26027.0,29917.517578125,28432.517578125,d,0.80923676,244.48923,401.32013,no pobre,682.4327,vulnerable no pobre,118.37454,06618,00
2023,01,005030,045,11,010201,selva, de 20 000 a 49 999 habitantes,2,2,2,4017.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4017.0,52.177814,11.67149,0.0,0.0,0.0,0.0,0.0,0.0,0,22512.0,0,0.0,0.0,0,0.0,0,0,1525,0,3713,0,10004.715,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,310.9503,0.0,0.0,0.0,1238,287,0,0,0,0,0,0,0,0,0,0,0,287,3504.6772,0.0,0.0,0.0,167.7127,0.0,0.0,163.12035,0.0,0.0,0.0,0.0,0.0,0.0,376.72134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1931.9939,0.0,0.0,473.0,0.0,0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,650.98816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0,1304.0,736.0,0.0,0.0,0,236.21695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,118.0,0.0,0.0,0.0,118.0,0.0,0.0,231.02469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,240.10551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25201.076171875,16595.369140625,27750.0,27750.0,36355.70703125,36355.70703125,d,0.80923676,244.48923,401.32013,no pobre,702.5137,no vulnerable,118.37454,06618,00
2023,01,005030,056,11,010201,selva, de 20 000 a 49 999 habitantes,1,1,1,1418.0,0.0,0,0,14607,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.0,4.186733,5.119073,0.0,0.0,0.0,0.0,25990.0,11522.0,0,0.0,0,0.0,0.0,0,0.0,0,1063,213,0,12376,19134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,2154.39,0.0,0.0,0.0,0,213,0,213,0,0,0,0,0,0,0,0,0,0,7192.031,0.0,0.0,0.0,122.38957,0.0,0.0,125.73406,0.0,0.0,0.0,1250.2023,0.0,0.0,0.0,0.0,0.0,0.0,148.72182,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,367.22165,0.0,0.0,0.0,0.0,0.0,0.0,2729.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.31366,0.0,0.0,0.0,223.4754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4192.0,0,2814.0,0.0,0.0,0.0,0,1358.2474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,98.071526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,376.91656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,5009.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30802.142578125,24825.353515625,58776.0,44308.0,64752.7890625,50284.7890625,d,0.80923676,244.48923,401.32013,no pobre,655.1665,no vulnerable,118.37454,06618,00
