hogar_id,conglome,vivienda,hogar,ubigeo,departamento_codigo,provincia_codigo,distrito_codigo,dominio_geografico,estrato_geografico,area_urbana_rural,area_rural_bin,factor_expansion_anual,target_pobreza_monetaria_bin,nivel_educativo_jefe_ord,usa_combustible_limpio,num_habitaciones,num_miembros_afiliados_essalud,material_techo,num_ninos_0_5,tam_hogar,edad_jefe,piso_precario,tenencia_vivienda,num_ninos_6_16,acceso_internet_hogar,num_miembros_sin_atencion_salud,tipo_vivienda,material_pared,acceso_desague_red,num_6_16_no_matriculados
040104_015545_041_11,015545,041,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,286.62033,0,8.0,1,2.0,1,"planchas de calamina, fibra de cemento o similares",0,2,49.0,0,"propia, totalmente pagada",0,1,1,casa independiente,ladrillo o bloque de cemento,0,0
040104_015545_053_11,015545,053,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,286.62033,0,4.0,1,2.0,0,"planchas de calamina, fibra de cemento o similares",0,1,51.0,0,"propia, totalmente pagada",0,0,1,casa independiente,ladrillo o bloque de cemento,0,0
040104_015545_064_11,015545,064,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,286.62033,1,6.0,0,1.0,0,"planchas de calamina, fibra de cemento o similares",1,3,25.0,1,alquilada,0,1,0,casa independiente,ladrillo o bloque de cemento,0,0
040104_015545_075_11,015545,075,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,286.62033,0,5.0,1,2.0,0,"planchas de calamina, fibra de cemento o similares",0,2,50.0,0,"propia, totalmente pagada",0,0,0,casa independiente,ladrillo o bloque de cemento,0,0
040122_015553_022_11,015553,022,11,040122,04,0401,040122,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,6.0,1,5.0,0,concreto armado,0,5,47.0,0,"propia, totalmente pagada",2,1,0,casa independiente,ladrillo o bloque de cemento,1,2
040122_015553_044_11,015553,044,11,040122,04,0401,040122,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,10.0,1,8.0,2,concreto armado,0,4,59.0,0,"propia, totalmente pagada",1,1,0,casa independiente,ladrillo o bloque de cemento,1,1
040122_015553_084_11,015553,084,11,040122,04,0401,040122,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,2.0,1,3.0,0,concreto armado,0,3,82.0,0,"propia, totalmente pagada",0,1,2,casa independiente,ladrillo o bloque de cemento,1,0
040122_015553_111_11,015553,111,11,040122,04,0401,040122,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,6.0,1,5.0,1,concreto armado,0,7,45.0,0,"propia, totalmente pagada",0,1,2,casa independiente,ladrillo o bloque de cemento,1,0
040122_015553_133_11,015553,133,11,040122,04,0401,040122,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,8.0,1,3.0,1,concreto armado,2,6,45.0,0,cedida por otro hogar o institucion,1,1,0,casa independiente,ladrillo o bloque de cemento,1,1
040122_015553_156_11,015553,156,11,040122,04,0401,040122,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,7.0,1,3.0,2,concreto armado,0,4,54.0,0,"propia, totalmente pagada",1,1,0,casa independiente,ladrillo o bloque de cemento,1,1
040122_015553_200_11,015553,200,11,040122,04,0401,040122,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,6.0,1,4.0,0,concreto armado,0,2,49.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040122_015553_222_11,015553,222,11,040122,04,0401,040122,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,6.0,1,2.0,0,concreto armado,0,2,57.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040110_015555_016_11,015555,016,11,040110,04,0401,040110,sierra sur, de 500 000 a más habitantes,urbana,0,1084.6403,0,7.0,1,4.0,2,concreto armado,0,7,48.0,0,cedida por otro hogar o institucion,3,1,1,casa independiente,ladrillo o bloque de cemento,1,3
