hogar_id,conglome,vivienda,hogar,ubigeo,factor_expansion_anual,target_pobreza_monetaria_bin,acceso_internet_hogar_derivado,internet_hogar_enaho,dispositivo_servicio_digital_1,dispositivo_servicio_digital_2,dispositivo_servicio_digital_3,edad_jefe,num_adultos_65_mas,num_ninos_0_5,num_ninos_6_16,sexo_jefe_bin,tam_hogar,al_menos_un_6_16_no_asiste,al_menos_un_6_16_no_matriculado,hogar_con_ninos_no_asisten,hogar_con_ninos_no_matriculados,nivel_educativo_jefe_cat,nivel_educativo_jefe_ord,num_6_16_no_asisten,num_6_16_no_matriculados,al_menos_un_ingreso_laboral_hogar,jefe_con_ingreso_laboral,num_miembros_con_ingreso_laboral,num_perceptores_hogar,acceso_electricidad,usa_combustible_limpio,usa_combustible_precario,combustible_principal_cocina,es_area_rural,estrato_geografico,al_menos_un_enfermedad_4_sem,al_menos_un_sintoma_4_sem,health_no_attention,num_miembros_afiliados_essalud,num_miembros_con_enfermedad_4_sem,num_miembros_con_sintoma_4_sem,num_miembros_sin_atencion_salud,acceso_agua_red,acceso_desague_red,agua_disponible_diaria,agua_potable_reportada,agua_segura_proxy,saneamiento_inadecuado,material_piso_cat,tipo_vivienda,material_pared,material_techo,num_habitaciones,tenencia_vivienda,piso_precario,ingreso_neto_total_hogar,monto_total_transferencias_publicas,monto_total_programas_sociales_alimentarios,monto_total_programas_sociales_no_alimentarios,recibe_programa_social_alimentario,recibe_programa_social_no_alimentario,monto_bono_alimentario,monto_apoyo_ollas_comunes,monto_ingresos_gastos_ollas_comunes,monto_juntos,monto_otras_transferencias_publicas,monto_pension_65,monto_beca_18,monto_bono_gas,monto_bono_electricidad,monto_bono_onp_jubilados,monto_programa_contigo,monto_bono_yanapay
040103_005511_097_11,005511,097,11,040103,803.9254,0,1,conexion a internet,pase,pase,conexion movil prepago,43.0,0,0,0,0,2,0,0,0,0,primaria incompleta,3.0,0,0,1,1,1,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,1,2,1,1,1,1,1,1,1,1,0,tierra,"vivienda en casa de vecindad (callejon, solar o corralon)",piedra o sillar con cal o cemento,"planchas de calamina, fibra de cemento o similares",1.0,"propia, totalmente pagada",1,13705.298828125,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040103_005511_142_11,005511,142,11,040103,803.9254,0,1,conexion a internet,pase,conexion movil post pago control,conexion movil prepago,45.0,0,0,2,1,4,1,1,1,1,superior no universitaria completa,8.0,1,1,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,4,0,3,2,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,"planchas de calamina, fibra de cemento o similares",3.0,cedida por otro hogar o institucion,0,69114.0625,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040129_015527_001_11,015527,001,11,040129,39.09841,0,1,conexion a internet,pase,conexion movil post pago control,pase,57.0,0,0,0,1,3,0,0,0,0,secundaria completa,6.0,0,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,1,0,2,1,2,1,1,1,1,1,0,"laminas asfalticas, vinilicos o similares",departamento en edificio,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,41612.12890625,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040129_015527_017_11,015527,017,11,040129,39.09841,0,1,conexion a internet,conexion fija,pase,pase,51.0,0,0,0,0,3,0,0,0,0,superior no universitaria completa,8.0,0,0,1,1,3,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,1,0,3,3,1,1,1,1,1,0,cemento,"vivienda en casa de vecindad (callejon, solar o corralon)",ladrillo o bloque de cemento,concreto armado,5.0,"propia, totalmente pagada",0,49222.73046875,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040129_015527_031_11,015527,031,11,040129,39.09841,0,1,conexion a internet,conexion fija,pase,conexion movil prepago,35.0,0,1,2,1,5,1,0,1,0,maestria_doctorado,11.0,2,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,0,1,5,4,0,4,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,5.0,"propia, totalmente pagada",0,147908.421875,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040129_015527_062_11,015527,062,11,040129,39.09841,0,1,conexion a internet,conexion fija,pase,pase,53.0,1,0,0,0,5,0,0,0,0,superior no universitaria completa,8.0,0,0,1,1,4,4,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,1,0,2,2,1,1,1,1,1,0,"losetas, terrazos o similares",departamento en edificio,ladrillo o bloque de cemento,concreto armado,4.0,alquilada,0,205679.0,24810,0.0,24810,0,1,0,0.0,0.0,0,24810,0,0,0,0,0,0,0
040129_015527_093_11,015527,093,11,040129,39.09841,0,1,conexion a internet,conexion fija,pase,pase,88.0,1,0,0,1,4,0,0,0,0,primaria completa,4.0,0,0,1,0,2,4,1,1,0,gas natural (sistema de tuberias),0, de 500 000 a más habitantes,0,1,1,2,0,1,3,1,1,1,1,1,0,parquet o madera pulida,casa independiente,ladrillo o bloque de cemento,concreto armado,8.0,"propia, totalmente pagada",0,130236.7265625,14377,0.0,14377,0,1,0,0.0,0.0,0,14377,0,0,0,0,0,0,0
040129_015527_108_11,015527,108,11,040129,39.09841,0,1,conexion a internet,pase,pase,conexion movil prepago,56.0,0,0,0,0,3,0,0,0,0,superior no universitaria completa,8.0,0,0,1,0,2,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,1,0,2,1,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,3.0,cedida por otro hogar o institucion,0,53458.26953125,2977,0.0,2977,0,1,0,0.0,0.0,0,2977,0,0,0,0,0,0,0
040129_015527_122_11,015527,122,11,040129,39.09841,0,1,conexion a internet,conexion fija,pase,pase,51.0,0,0,1,1,4,0,1,0,1,superior no universitaria completa,8.0,0,1,1,1,3,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,3,0,2,2,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,cedida por otro hogar o institucion,0,50946.73046875,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040104_015545_010_11,015545,010,11,040104,286.62033,0,1,conexion a internet,pase,conexion movil post pago control,pase,29.0,0,0,0,1,2,0,0,0,0,superior no universitaria completa,8.0,0,0,1,1,1,1,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,1,0,1,1,0,0,0,0,0,0,tierra,casa independiente,ladrillo o bloque de cemento,"planchas de calamina, fibra de cemento o similares",2.0,"propia, totalmente pagada",1,20973.30859375,0,110.29633,0,1,0,0,110.29633,0.0,0,0,0,0,0,0,0,0,0
040104_015545_018_11,015545,018,11,040104,286.62033,0,0,pase,,,,31.0,0,0,0,1,1,0,0,0,0,secundaria incompleta,5.0,0,0,1,1,1,1,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,0,0,0,0,0,0,0,0,0,0,0,0,cemento,casa independiente,ladrillo o bloque de cemento,"planchas de calamina, fibra de cemento o similares",1.0,"propia, totalmente pagada",0,12756.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
