table_id,zip_name,table_name,column_name,original_column_name,dtype,null_count,null_pct,n_unique
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,ano,aÑo,str,0,0.0,1
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,mes,mes,str,0,0.0,12
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,conglome,conglome,str,0,0.0,5359
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,vivienda,vivienda,str,0,0.0,557
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,hogar,hogar,str,0,0.0,10
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,ubigeo,ubigeo,str,0,0.0,1263
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,dominio,dominio,category,0,0.0,8
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,estrato,estrato,category,0,0.0,8
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,periodo,periodo,int8,0,0.0,5
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,tipenc,tipenc,category,0,0.0,4
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,fecent,fecent,int32,0,0.0,359
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,result,result,category,0,0.0,6
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,panel,panel,category,34263,77.2072,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p22,p22,category,10492,23.6423,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p23,p23,str,0,0.0,936
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p24a,p24a,category,10492,23.6423,4
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p24b,p24b,category,10492,23.6423,3
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_1,p25_1,category,10492,23.6423,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_2,p25_2,category,10492,23.6423,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_3,p25_3,category,10492,23.6423,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_4,p25_4,category,10492,23.6423,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_5,p25_5,category,10492,23.6423,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p101,p101,category,10865,24.4829,7
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p102,p102,category,10865,24.4829,9
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p103,p103,category,10865,24.4829,7
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p103a,p103a,category,10865,24.4829,8
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p104,p104,float64,10865,24.4829,15
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p104a,p104a,float64,10865,24.4829,12
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p104b1,p104b1,category,11150,25.1251,3
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p104b2,p104b2,category,11150,25.1251,3
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p105a,p105a,category,10492,23.6423,7
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p105b,p105b,float32,41336,93.1453,317
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p106,p106,float64,14326,32.2818,530
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p106a,p106a,category,18798,42.3588,3
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p106b,p106b,category,32813,73.9398,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107b1,p107b1,category,10492,23.6423,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c11,p107c11,category,44319,99.8671,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c12,p107c12,category,44319,99.8671,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c13,p107c13,category,44319,99.8671,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c14,p107c14,category,44319,99.8671,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c16,p107c16,category,44319,99.8671,1
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c17,p107c17,category,44319,99.8671,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c18,p107c18,category,44319,99.8671,1
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c19,p107c19,category,44319,99.8671,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c110,p107c110,category,44319,99.8671,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107d1,p107d1,float64,44321,99.8716,30
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107b2,p107b2,category,10492,23.6423,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c21,p107c21,category,44266,99.7476,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c22,p107c22,category,44266,99.7476,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c23,p107c23,category,44266,99.7476,2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p107c24,p107c24,category,44266,99.7476,2
