survey_label,category,year,period_label,module_code,module_name,preferred_request_format,actual_download_format,download_code,zip_path
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),1,Características de la Vivienda y del Hogar,STATA,STATA,906-Modulo01,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo01.zip
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),2,Características de los Miembros del Hogar,STATA,STATA,906-Modulo02,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo02.zip
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),3,Educación,STATA,STATA,906-Modulo03,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo03.zip
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),4,Salud,STATA,STATA,906-Modulo04,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo04.zip
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),5,Empleo e Ingresos,STATA,STATA,906-Modulo05,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo05.zip
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),34,Sumarias ( Variables Calculadas ),STATA,STATA,906-Modulo34,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo34.zip
