survey_label,category,year,period_label,module_code,module_name,preferred_request_format,actual_download_format,download_code,zip_path,download_exists,file_size_bytes,status,table_count,tables_json
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),1,Características de la Vivienda y del Hogar,STATA,STATA,906-Modulo01,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo01.zip,True,6502920,ok,1,"[""enaho01-2023-100""]"
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),2,Características de los Miembros del Hogar,STATA,STATA,906-Modulo02,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo02.zip,True,4087359,ok,3,"[""enaho01-2023-200"", ""enaho_tabla_ciuo_88"", ""enaho_tabla_cno""]"
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),3,Educación,STATA,STATA,906-Modulo03,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo03.zip,True,10257477,ok,1,"[""enaho01a-2023-300""]"
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),4,Salud,STATA,STATA,906-Modulo04,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo04.zip,True,12212824,ok,1,"[""enaho01a-2023-400""]"
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),5,Empleo e Ingresos,STATA,STATA,906-Modulo05,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo05.zip,True,15391777,ok,5,"[""enaho01a-2023-500"", ""enaho_tabla_ciiu_rev3"", ""enaho_tabla_ciiu_rev4"", ""enaho_tabla_ciuo_88"", ""enaho_tabla_cno""]"
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),34,Sumarias ( Variables Calculadas ),STATA,STATA,906-Modulo34,C:\Users\the master\Documents\New project\data\raw\enaho_2023_anual\906-Modulo34.zip,True,14202675,ok,2,"[""sumaria-2023-12g"", ""sumaria-2023""]"
