survey,category,year,period,module_code,module_name,variable,label,values,concept,query,matched_annual_enaho_2023
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p23,"¿en que distrito, provincia y departamento esta ubicada dicha vivienda?",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p24a,las paredes exteriores de la vivienda tienen fachada: con tarrajeo,"{""1"": ""total"", ""2"": ""parcial"", ""3"": ""no esta tarrajeada"", ""4"": ""no corresponde""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p24b,las paredes exteriores de la vivienda tienen fachada: pintada,"{""1"": ""totalmente"", ""2"": ""parcialmente"", ""3"": ""sin pintar""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p25_1,"la calle, avenida,jiron, carretera, donde se ubica la vivienda tiene: pista afal","{""0"": ""pase"", ""1"": ""pista asfaltada""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p25_2,"la calle, avenida,jiron, carretera, donde se ubica la vivienda tiene: pista afir","{""0"": ""pase"", ""1"": ""pista afirmada/tierra""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p25_3,"la calle, avenida,jiron, carretera, donde se ubica la vivienda tiene: veredas","{""0"": ""pase"", ""1"": ""veredas""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p25_4,"la calle, avenida,jiron, carretera, donde se ubica la vivienda tiene: poste alum","{""0"": ""pase"", ""1"": ""poste alumbrado publico""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p25_5,"la calle, avenida,jiron, carretera, donde se ubica la vivienda tiene: ninguno","{""0"": ""pase"", ""1"": ""ninguno""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p101,tipo de vivienda,"{""1"": ""casa independiente"", ""2"": ""departamento en edificio"", ""3"": ""vivienda en quinta"", ""4"": ""vivienda en casa de vecindad (callejon, solar o corralon)"", ""5"": ""choza o cabaña"", ""6"": ""vivienda improvisada"", ""7"": ""local no destinado para habitacion humana"", ""8"": ""otro""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p104,"¿cuantas habitaciones en total tiene la vivienda, sin contar el baño,la cocina,",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p104b1,¿la vivienda cuenta con licencia de construccion?,"{""1"": ""si"", ""2"": ""no"", ""3"": ""no sabe""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p104b2,¿la vivienda fue construida con asistencia tecnica de un ing. civil o arquitecto,"{""1"": ""si"", ""2"": ""no"", ""3"": ""no sabe""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p105a,la vivienda que ocupa su hogar es:,"{""1"": ""alquilada"", ""2"": ""propia, totalmente pagada"", ""3"": ""propia, por invasion"", ""4"": ""propia, comprandola a plazos"", ""5"": ""cedida por el centro de trabajo"", ""6"": ""cedida por otro hogar o institucion"", ""7"": ""otra forma""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p105b,monto mensual por alquiler o compra de la vivienda (en s/.),,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p106,"si ud. alquilara esta vivienda, ¿cuanto cree que le pagarian de alquiler mensual",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p106a,¿esta vivienda tiene titulo de propiedad?,"{""1"": ""si"", ""2"": ""no"", ""3"": ""en tramite de titulacion""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p106b,¿el titulo de la vivienda esta registrado en la sunarp?,"{""1"": ""si"", ""2"": ""no""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p612i1,"en los ultimos 12 meses, ¿el hogar ha vendido: bienes raices(vivienda, terrenos,","{""1"": ""si"", ""2"": ""no""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,d105b,"(deflactado, anualizado) monto mensual por alquiler o compra de la vivienda?",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,nbi1,vivienda inadecuada (necesidad basica insatisfecha 1 ),"{""0"": ""vivienda adecuada"", ""1"": ""vivienda inadecuada""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,nbi2,vivienda con hacinamiento (necesidad basica insatisfecha 2 ),"{""0"": ""vivienda sin hacinamiento"", ""1"": ""vivienda con hacinamiento""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,nbi3,hogares con vivienda sin servicios higienicos (necesidad basica insatisfecha 3 ),"{""0"": ""hogares con vivienda con servicios higienicos"", ""1"": ""hogares con vivienda sin servicios higienicos""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo02,Características de los Miembros del Hogar,vivienda,numero de seleccion de la vivienda,,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo03,Educación,vivienda,numero de seleccion de la vivienda,,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo04,Salud,VIVIENDA,Numero de seleccion de vivienda,,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,vivienda,numero de seleccion de vivienda,,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,p5294a,"en su ocupacion principal, ¿con que frecuencia...: vivienda? - frecuencia con qu","{""1"": ""diario"", ""2"": ""semanal"", ""3"": ""quincenal"", ""4"": ""mensual"", ""5"": ""bimestral"", ""6"": ""trimestral"", ""7"": ""semestral"", ""8"": ""anual""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,p5294b,"en su ocupacion principal, ¿con que frecuencia...: vivienda? - valor estimado po",,vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,p5294c,"en su ocupacion principal, ¿con que frecuencia...: vivienda? - no sabe","{""1"": ""no sabe""}",vivienda,vivienda,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,p5404a,"en su ocupacion secun., ¿con que frecuencia ...: vivienda? - frecuencia con que","{""1"": ""diario"", ""2"": ""semanal"", ""3"": ""quincenal"", ""4"": ""mensual"", ""5"": ""bimestral"", ""6"": ""trimestral"", ""7"": ""semestral"", ""8"": ""anual""}",vivienda,vivienda,True
