usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,ingreso_neto_total_hogar,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,monto_juntos,acceso_desague_red,monto_bono_gas,y_true,y_score,y_pred
1,0,,"planchas de calamina, fibra de cemento o similares",5.0,,0,12756.0,1.0,0,,ladrillo o bloque de cemento,1,0,0,0, de 500 000 a más habitantes,0,0,0,0,0.37592184070917,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",1.0,conexion movil prepago,0,6805.9208984375,2.0,1,pase,ladrillo o bloque de cemento,1,0,0,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.8292149456926964,1
1,0,conexion movil post pago control,concreto armado,6.0,pase,0,36751.26953125,4.0,1,pase,ladrillo o bloque de cemento,4,0,0,0, de 500 000 a más habitantes,0,1,0,0,0.3399938967429676,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,26872.6015625,1.0,1,pase,ladrillo o bloque de cemento,4,0,2,0, de 500 000 a más habitantes,0,1,0,0,0.7003939548050525,1
1,0,pase,concreto armado,5.0,conexion movil prepago,0,80768.0390625,4.0,1,pase,ladrillo o bloque de cemento,6,1,2,5, de 20 000 a 49 999 habitantes,0,0,0,0,0.4097614682305367,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,19300.630859375,1.0,1,pase,adobe,2,0,0,0, de 500 a 1 999 habitantes,0,1,0,0,0.7776243586921483,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,45584.84375,1.0,1,pase,ladrillo o bloque de cemento,3,1,0,0, de 20 000 a 49 999 habitantes,1190,0,0,0,0.5352189380108344,1
1,0,conexion movil post pago control,concreto armado,6.0,conexion movil prepago,0,24914.171875,2.0,1,pase,ladrillo o bloque de cemento,5,0,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.7958456488162897,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,48563.5546875,1.0,1,conexion fija,triplay/calamina/estera,5,0,2,0,area de empadronamiento rural (aer) simple,0,0,0,0,0.6832048099184248,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,15462.7060546875,1.0,1,pase,ladrillo o bloque de cemento,2,0,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,0.8227631839058269,1
0,1,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",6.0,pase,0,72542.984375,3.0,1,conexion fija,ladrillo o bloque de cemento,4,0,0,1, de 20 000 a 49 999 habitantes,0,1,0,0,0.3735312770587643,1
1,0,conexion movil post pago control,caña o estera con torta de barro o cemento,6.0,pase,1,25254.21875,1.0,1,pase,adobe,3,0,2,0,area de empadronamiento rural (aer) compuesto,0,1,0,0,0.24374264258950393,1
1,0,conexion movil post pago control,concreto armado,3.0,pase,0,19921.962890625,2.0,1,pase,ladrillo o bloque de cemento,2,0,0,0, de 500 000 a más habitantes,1190,1,0,0,0.2642829272367368,1
1,0,,"planchas de calamina, fibra de cemento o similares",6.0,,0,3828.589111328125,1.0,0,,ladrillo o bloque de cemento,1,0,0,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.5374609081131791,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,0,14550.6806640625,4.0,1,pase,ladrillo o bloque de cemento,2,0,1,0, de 500 000 a más habitantes,0,1,0,0,0.5156764819096787,1
1,0,,concreto armado,4.0,,0,18339.20703125,1.0,0,,ladrillo o bloque de cemento,1,0,0,0,area de empadronamiento rural (aer) simple,0,0,0,0,0.2626832242915624,1
1,0,conexion movil post pago control,concreto armado,8.0,pase,0,21421.44921875,2.0,1,pase,ladrillo o bloque de cemento,4,1,1,0, de 500 000 a más habitantes,0,0,0,0,0.4054966717219235,1
1,0,conexion movil post pago control,concreto armado,8.0,pase,0,78043.125,5.0,1,pase,ladrillo o bloque de cemento,6,0,2,0, de 500 000 a más habitantes,0,1,0,0,0.27290032519181323,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,2290.7841796875,3.0,1,pase,ladrillo o bloque de cemento,4,0,2,0, de 500 000 a más habitantes,0,0,0,0,0.7514797304016,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",3.0,pase,0,26921.0,5.0,1,pase,"madera (pona, tornillo, etc)",6,1,2,5, de 500 000 a más habitantes,0,1,0,0,0.6928332679829114,1
0,1,pase,concreto armado,8.0,conexion movil prepago,0,62100.25390625,3.0,1,conexion fija,ladrillo o bloque de cemento,6,0,0,1, de 500 a 1 999 habitantes,0,1,0,0,0.7262513148079912,1
0,1,,"planchas de calamina, fibra de cemento o similares",4.0,,0,56182.85546875,6.0,0,,adobe,6,0,0,0, de 500 000 a más habitantes,0,1,0,0,0.982342483720487,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,25284.177734375,4.0,1,pase,ladrillo o bloque de cemento,1,0,0,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.20380665352159794,1
1,0,pase,concreto armado,3.0,pase,0,37846.03515625,3.0,1,conexion fija,ladrillo o bloque de cemento,4,0,1,0, de 500 000 a más habitantes,0,1,0,0,0.6342267275753793,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,0,14873.0283203125,1.0,1,pase,piedra o sillar con cal o cemento,3,0,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,0.927684642192401,1
1,0,conexion movil post pago control,concreto armado,4.0,conexion movil prepago,0,59636.55078125,2.0,1,conexion fija,ladrillo o bloque de cemento,6,0,1,2, de 500 000 a más habitantes,0,1,0,0,0.5164438404108515,1
1,0,conexion movil post pago control,concreto armado,6.0,pase,0,24634.1953125,2.0,1,pase,ladrillo o bloque de cemento,4,1,1,0, de 500 000 a más habitantes,0,0,0,0,0.47072790779555534,1
0,1,pase,concreto armado,3.0,conexion movil prepago,0,41213.35546875,3.0,1,pase,ladrillo o bloque de cemento,4,0,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.8766185043191561,1
0,0,,"planchas de calamina, fibra de cemento o similares",3.0,,0,13162.7578125,2.0,0,,adobe,2,0,0,0,area de empadronamiento rural (aer) compuesto,0,0,0,0,0.7211035226018877,1
1,0,conexion movil post pago control,concreto armado,8.0,conexion movil prepago,0,42557.07421875,2.0,1,pase,ladrillo o bloque de cemento,7,0,4,1, de 500 000 a más habitantes,0,1,0,0,0.8296006521479083,1
