feature_set,fold,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
top20_full,1,Logistic,weighted,0.2,0.9523809523809523,0.2484472049689441,0.39408866995073893,0.8589603780443474,0.4468295206178963
top20_full,1,Logistic,weighted,0.25,0.9285714285714286,0.2932330827067669,0.44571428571428573,0.8589603780443474,0.4468295206178963
top20_full,1,Logistic,weighted,0.3,0.9047619047619048,0.31932773109243695,0.4720496894409938,0.8589603780443474,0.4468295206178963
top20_full,1,Logistic,weighted,0.35,0.8333333333333334,0.32407407407407407,0.4666666666666667,0.8589603780443474,0.4468295206178963
top20_full,1,Logistic,weighted,0.4,0.8333333333333334,0.35,0.49295774647887325,0.8589603780443474,0.4468295206178963
top20_full,1,Logistic,weighted,0.45,0.8095238095238095,0.39080459770114945,0.5271317829457365,0.8589603780443474,0.4468295206178963
top20_full,1,Logistic,weighted,0.5,0.7142857142857143,0.39473684210526316,0.5084745762711864,0.8589603780443474,0.4468295206178963
top20_full,1,Logistic,smote,0.2,0.9285714285714286,0.2765957446808511,0.4262295081967213,0.863776808433297,0.47056846743826797
top20_full,1,Logistic,smote,0.25,0.9285714285714286,0.3023255813953488,0.45614035087719296,0.863776808433297,0.47056846743826797
top20_full,1,Logistic,smote,0.3,0.9047619047619048,0.33043478260869563,0.4840764331210191,0.863776808433297,0.47056846743826797
top20_full,1,Logistic,smote,0.35,0.8809523809523809,0.3592233009708738,0.5103448275862069,0.863776808433297,0.47056846743826797
top20_full,1,Logistic,smote,0.4,0.7857142857142857,0.3548387096774194,0.4888888888888889,0.863776808433297,0.47056846743826797
top20_full,1,Logistic,smote,0.45,0.7619047619047619,0.37209302325581395,0.5,0.863776808433297,0.47056846743826797
top20_full,1,Logistic,smote,0.5,0.7142857142857143,0.39473684210526316,0.5084745762711864,0.863776808433297,0.47056846743826797
top20_full,1,Tree,weighted,0.2,0.9047619047619048,0.20430107526881722,0.3333333333333333,0.7884405670665213,0.3712464592778211
top20_full,1,Tree,weighted,0.25,0.8571428571428571,0.23225806451612904,0.36548223350253806,0.7884405670665213,0.3712464592778211
top20_full,1,Tree,weighted,0.3,0.8095238095238095,0.27419354838709675,0.40963855421686746,0.7884405670665213,0.3712464592778211
top20_full,1,Tree,weighted,0.35,0.8095238095238095,0.27419354838709675,0.40963855421686746,0.7884405670665213,0.3712464592778211
top20_full,1,Tree,weighted,0.4,0.7857142857142857,0.2796610169491525,0.4125,0.7884405670665213,0.3712464592778211
top20_full,1,Tree,weighted,0.45,0.7619047619047619,0.2857142857142857,0.4155844155844156,0.7884405670665213,0.3712464592778211
top20_full,1,Tree,weighted,0.5,0.7380952380952381,0.27927927927927926,0.40522875816993464,0.7884405670665213,0.3712464592778211
top20_full,1,Tree,smote,0.2,0.7857142857142857,0.25384615384615383,0.38372093023255816,0.7372319156670302,0.28595447221994325
top20_full,1,Tree,smote,0.25,0.7857142857142857,0.25384615384615383,0.38372093023255816,0.7372319156670302,0.28595447221994325
top20_full,1,Tree,smote,0.3,0.6428571428571429,0.2872340425531915,0.39705882352941174,0.7372319156670302,0.28595447221994325
top20_full,1,Tree,smote,0.35,0.6428571428571429,0.2872340425531915,0.39705882352941174,0.7372319156670302,0.28595447221994325
top20_full,1,Tree,smote,0.4,0.6428571428571429,0.29347826086956524,0.40298507462686567,0.7372319156670302,0.28595447221994325
top20_full,1,Tree,smote,0.45,0.5952380952380952,0.32051282051282054,0.4166666666666667,0.7372319156670302,0.28595447221994325
top20_full,1,Tree,smote,0.5,0.5952380952380952,0.32051282051282054,0.4166666666666667,0.7372319156670302,0.28595447221994325
