variable,rol_eda,dtype,nulos,nulos_pct,n_unicos
n_6_16_no_matriculados,numerica,int64,0,0.0,5
n_6_16_no_asisten,numerica,int64,0,0.0,3
any_6_16_no_matriculados,binaria,int64,0,0.0,2
any_6_16_no_asisten,binaria,int64,0,0.0,2
personas_con_mod_salud,numerica,int64,0,0.0,10
miembros_con_sintoma_4w,numerica,int64,0,0.0,9
miembros_con_enfermedad_4w,numerica,int64,0,0.0,9
miembros_sin_atencion_salud,numerica,int64,0,0.0,10
miembros_afiliados_essalud,numerica,int64,0,0.0,8
any_sintoma_4w,binaria,int64,0,0.0,2
any_enfermedad_4w,binaria,int64,0,0.0,2
personas_con_mod_empleo,numerica,int64,0,0.0,8
miembros_con_ingreso_laboral,numerica,int64,0,0.0,7
jefe_con_ingreso_laboral,binaria,int64,0,0.0,2
any_ingreso_laboral_hogar,binaria,int64,0,0.0,2
provincia_cod,categorica,str,0,0.0,8
distrito_cod,categorica,str,0,0.0,64
sexo_jefe_bin,binaria,int64,0,0.0,2
educ_jefe_ord,numerica,float64,0,0.0,11
educ_jefe,categorica,str,0,0.0,11
tam_hogar,numerica,int8,0,0.0,10
num_perceptores,numerica,int8,0,0.0,8
gasto_hogar,numerica,float64,0,0.0,1517
material_piso,categorica,str,6,0.3955,7
piso_precario,binaria,int64,0,0.0,2
fuente_agua,categorica,str,0,0.0,8
acceso_agua_red,binaria,int64,0,0.0,2
agua_potable_reportada,binaria,int64,0,0.0,2
agua_disponible_diaria,binaria,int64,0,0.0,2
agua_segura_proxy,binaria,int64,0,0.0,2
tipo_desague,categorica,str,0,0.0,7
acceso_desague_red,binaria,int64,0,0.0,2
saneamiento_inadecuado,binaria,int64,0,0.0,2
acceso_electricidad,binaria,int64,0,0.0,2
combustible_principal,categorica,str,11,0.7251,7
combustible_limpio,binaria,int64,0,0.0,2
combustible_precario,binaria,int64,0,0.0,2
internet_hogar,binaria,int64,0,0.0,2
area_urbana_rural,categorica,str,0,0.0,2
area_rural_bin,binaria,int64,0,0.0,2
children_not_enrolled,binaria,int64,0,0.0,2
children_not_attending,binaria,int64,0,0.0,2
target_pobreza_bin,target,int64,0,0.0,2
