feature_set,model,accuracy,precision,recall,f1_score,precision_pobre,recall_pobre,f1_pobre,support_pobre
top30_full,XGBoostClassifier,0.8596491228070176,0.48,0.3870967741935484,0.42857142857142855,0.48,0.3870967741935484,0.42857142857142855,62.0
top30_full,DecisionTreeClassifier,0.8179824561403509,0.34782608695652173,0.3870967741935484,0.366412213740458,0.34782608695652173,0.3870967741935484,0.366412213740458,62.0
top30_full,LogisticRegression,0.8662280701754386,0.5121951219512195,0.3387096774193548,0.4077669902912621,0.5121951219512195,0.3387096774193548,0.4077669902912621,62.0
top30_full,RandomForestClassifier,0.8662280701754386,0.5333333333333333,0.12903225806451613,0.2077922077922078,0.5333333333333333,0.12903225806451613,0.2077922077922078,62.0
top30_full,SVC,0.8618421052631579,0.3333333333333333,0.016129032258064516,0.03076923076923077,0.3333333333333333,0.016129032258064516,0.03076923076923077,62.0
